rank	URI	name	Linked Institution	P	P_top	PP_top
120	http://dbpedia.org/resource/University_of_Groningen	University of Groningen	University of Groningen	6566	844	12,9%
121	http://dbpedia.org/resource/Newcastle_University	Newcastle University	Newcastle University	3701	473	12,8%
122	http://dbpedia.org/resource/University_of_Liverpool	University of Liverpool	University of Liverpool	3866	494	12,8%
123	http://dbpedia.org/resource/University_of_Melbourne	University of Melbourne	University of Melbourne	9392	1198	12,8%
124	http://dbpedia.org/resource/Rensselaer_Polytechnic_Institute	Rensselaer Polytechnic Institute	Rensselaer Polytechnic Institute	1654	211	12,7%
125	http://dbpedia.org/resource/Karolinska_Institutet	Karolinska Institute	Karolinska Institute	6676	850	12,7%
126	http://dbpedia.org/resource/University_of_Notre_Dame	University of Notre Dame	University of Notre Dame	2456	313	12,7%
127	http://dbpedia.org/resource/Bordeaux_Segalen_University	University of Bordeaux Segalen	University of Bordeaux Segalen	1087	138	12,7%
128	http://dbpedia.org/resource/University_of_Copenhagen	University of Copenhagen	University of Copenhagen	8749	1112	12,7%
129	http://dbpedia.org/resource/Paris-Sud_11_University	University of Paris-Sud	University of Paris-Sud	5449	692	12,7%
130	http://dbpedia.org/resource/University_of_Konstanz	University of Konstanz	University of Konstanz	1292	164	12,7%
131	http://dbpedia.org/resource/Aarhus_University	Aarhus University	Aarhus University	5182	656	12,7%
132	http://dbpedia.org/resource/Indiana_University_Bloomington	Indiana University, Bloomington	Indiana University, Bloomington	3577	452	12,6%
133	http://dbpedia.org/resource/University_of_W%C3%BCrzburg	University of Würzburg	University of Würzburg	3183	402	12,6%
134	http://dbpedia.org/resource/Colorado_State_University	Colorado State University	Colorado State University	3396	429	12,6%
135	http://dbpedia.org/resource/University_of_Nice_Sophia_Antipolis	University of Nice Sophia Antipolis	University of Nice Sophia Antipolis	1523	192	12,6%
136	http://dbpedia.org/resource/University_of_Nottingham	University of Nottingham	University of Nottingham	5715	721	12,6%
137	http://dbpedia.org/resource/University_of_Queensland	University of Queensland	University of Queensland	8673	1089	12,6%
138	http://dbpedia.org/resource/University_of_Iowa	University of Iowa	University of Iowa	5213	653	12,5%
139	http://dbpedia.org/resource/Joseph_Fourier_University	Joseph Fourier University	Joseph Fourier University	4074	510	12,5%
140	http://dbpedia.org/resource/Stockholm_University	Stockholm University	Stockholm University	3042	379	12,5%
141	http://dbpedia.org/resource/University_of_Sheffield	University of Sheffield	University of Sheffield	4948	617	12,5%
142	http://dbpedia.org/resource/Ohio_State_University	Ohio State University	Ohio State University	10399	1296	12,5%
143	http://dbpedia.org/resource/University_of_Texas_at_Dallas	University of Texas, Dallas	University of Texas, Dallas	1523	189	12,4%
144	http://dbpedia.org/resource/Montpellier_2_University	University of Montpellier II	University of Montpellier II	2663	331	12,4%
145	http://dbpedia.org/resource/Monash_University	Monash University	Monash University	7172	890	12,4%
146	http://dbpedia.org/resource/University_of_Maryland,_Baltimore_County	University of Maryland, Baltimore	University of Maryland, Baltimore	3831	475	12,4%
147	http://dbpedia.org/resource/Georgetown_University	Georgetown University	Georgetown University	2095	259	12,4%
148	http://dbpedia.org/resource/Delft_University_of_Technology	Delft University of Technology	Delft University of Technology	4087	503	12,3%
149	http://dbpedia.org/resource/Pennsylvania_State_University	Pennsylvania State University	Pennsylvania State University	9997	1229	12,3%
150	http://dbpedia.org/resource/University_of_Graz	Karl Franzens University of Graz	Karl Franzens University of Graz	1173	143	12,2%
151	http://dbpedia.org/resource/Universit%C3%A9_catholique_de_Louvain	Université Catholique de Louvain	Université Catholique de Louvain	2817	345	12,2%
152	http://dbpedia.org/resource/University_of_Regensburg	University of Regensburg	University of Regensburg	2700	330	12,2%
153	http://dbpedia.org/resource/University_of_Bonn	University of Bonn	University of Bonn	4349	531	12,2%
154	http://dbpedia.org/resource/Hong_Kong_University_of_Science_and_Technology	Hong Kong University of Science and Technology	Hong Kong University of Science and Technology	2826	343	12,2%
155	http://dbpedia.org/resource/University_of_Arizona	University of Arizona	University of Arizona	6505	790	12,1%
156	http://dbpedia.org/resource/University_of_Southampton	University of Southampton	University of Southampton	4964	603	12,1%
157	http://dbpedia.org/resource/University_of_Bordeaux_1	University of Bordeaux I	University of Bordeaux I	1799	218	12,1%
158	http://dbpedia.org/resource/James_Cook_University	James Cook University 	James Cook University 	1489	181	12,1%
159	http://dbpedia.org/resource/Arizona_State_University	Arizona State University	Arizona State University	5372	651	12,1%
160	http://dbpedia.org/resource/University_of_Bern	University of Bern	University of Bern	4373	530	12,1%
161	http://dbpedia.org/resource/University_of_Manchester	University of Manchester	University of Manchester	8438	1021	12,1%
162	http://dbpedia.org/resource/Purdue_University	Purdue University, Lafayette	Purdue University, Lafayette	7316	885	12,1%
163	http://dbpedia.org/resource/Fuzhou_University	Fuzhou University	Fuzhou University	1138	137	12,1%
164	http://dbpedia.org/resource/University_of_Sussex	University of Sussex	University of Sussex	1817	220	12,1%
165	http://dbpedia.org/resource/University_of_Technology,_Sydney	University of Technology Sydney	University of Technology Sydney	1206	146	12,1%
166	http://dbpedia.org/resource/University_of_G%C3%B6ttingen	University of Göttingen	University of Göttingen	4334	522	12,0%
167	http://dbpedia.org/resource/University_of_New_Mexico	University of New Mexico	University of New Mexico	2769	333	12,0%
168	http://dbpedia.org/resource/University_of_Cincinnati	University of Cincinnati	University of Cincinnati	4631	557	12,0%
169	http://dbpedia.org/resource/University_of_Montpellier	University of Montpellier I	University of Montpellier I	1145	137	12,0%
170	http://dbpedia.org/resource/Syracuse_University	Syracuse University	Syracuse University	1349	161	11,9%
171	http://dbpedia.org/resource/ETH_Zurich	École Polytechnique	École Polytechnique	1513	181	11,9%
172	http://dbpedia.org/resource/Lancaster_University	Lancaster University	Lancaster University	1664	198	11,9%
173	http://dbpedia.org/resource/Pohang_University_of_Science_and_Technology	Pohang University of Science and Technology	Pohang University of Science and Technology	2959	352	11,9%
174	http://dbpedia.org/resource/Heidelberg_University	Heidelberg University	Heidelberg University	6373	758	11,9%
175	http://dbpedia.org/resource/University_College_Cork	University College Cork	University College Cork	2089	248	11,9%
176	http://dbpedia.org/resource/University_of_D%C3%BCsseldorf	Heinrich Heine Univ Düsseldorf	Heinrich Heine Univ Düsseldorf	2597	308	11,8%
177	http://dbpedia.org/resource/University_of_Hawaii	University of Hawaii, Manoa	University of Hawaii, Manoa	3042	360	11,8%
178	http://dbpedia.org/resource/Lehigh_University	Lehigh University	Lehigh University	1081	128	11,8%
179	http://dbpedia.org/resource/University_of_Birmingham	University of Birmingham	University of Birmingham	5100	601	11,8%
180	http://dbpedia.org/resource/Rovira_i_Virgili_University	Rovira i Virgili University 	Rovira i Virgili University 	1360	160	11,8%
181	http://dbpedia.org/resource/University_of_Stuttgart	University of Stuttgart	University of Stuttgart	2214	261	11,8%
182	http://dbpedia.org/resource/Cardiff_University	Cardiff University	Cardiff University	4288	503	11,7%
183	http://dbpedia.org/resource/Victoria_University_of_Wellington	University of Victoria	University of Victoria	1987	233	11,7%
184	http://dbpedia.org/resource/University_of_Strasbourg	University of Strasbourg	University of Strasbourg	3607	422	11,7%
185	http://dbpedia.org/resource/University_of_Ottawa	University of Ottawa	University of Ottawa	4643	543	11,7%
186	http://dbpedia.org/resource/London_School_of_Economics	London School of Economics and Political Science	London School of Economics and Political Science	1408	164	11,7%
187	http://dbpedia.org/resource/City_University_of_Hong_Kong	City University of Hong Kong	City University of Hong Kong	3490	406	11,6%
188	http://dbpedia.org/resource/McMaster_University	McMaster University	McMaster University	5594	651	11,6%
189	http://dbpedia.org/resource/Goethe_University_Frankfurt	Goethe University Frankfurt	Goethe University Frankfurt	3978	463	11,6%
190	http://dbpedia.org/resource/Texas_A&M_University	Texas A&M University, College Station	Texas A&M University, College Station	7964	926	11,6%
191	http://dbpedia.org/resource/University_of_Alabama_at_Birmingham	University of Alabama, Birmingham	University of Alabama, Birmingham	4435	516	11,6%
192	http://dbpedia.org/resource/Free_University_of_Berlin	Freie Universität Berlin	Freie Universität Berlin	6753	784	11,6%
193	http://dbpedia.org/resource/University_of_Trento	University of Trento	University of Trento	1360	158	11,6%
194	http://dbpedia.org/resource/University_at_Albany,_SUNY	University of Albany	University of Albany	1508	175	11,6%
195	http://dbpedia.org/resource/University_of_Idaho	University of Idaho	University of Idaho	1041	121	11,6%
196	http://dbpedia.org/resource/Oregon_State_University	Oregon State University	Oregon State University	3117	361	11,6%
197	http://dbpedia.org/resource/University_of_New_South_Wales	University of New South Wales	University of New South Wales	7369	852	11,6%
198	http://dbpedia.org/resource/Nankai_University	Nankai University	Nankai University	3946	456	11,6%
199	http://dbpedia.org/resource/Wuhan_University_of_Technology	Wuhan University of Technology	Wuhan University of Technology	1175	136	11,6%
200	http://dbpedia.org/resource/Humboldt_University_of_Berlin	Humboldt University of Berlin	Humboldt University of Berlin	6416	740	11,5%
201	http://dbpedia.org/resource/University_of_Hull	University of Hull	University of Hull	1022	118	11,5%
202	http://dbpedia.org/resource/Medical_University_of_South_Carolina	Medical University of South Carolina	Medical University of South Carolina	2500	288	11,5%
203	http://dbpedia.org/resource/University_of_Reading	University of Reading	University of Reading	1913	220	11,5%
204	http://dbpedia.org/resource/University_of_Marburg	Philipps-Universität Marburg	Philipps-Universität Marburg	2558	294	11,5%
205	http://dbpedia.org/resource/National_University_of_Ireland,_Galway	National University of Ireland, Galway	National University of Ireland, Galway	1442	166	11,5%
206	http://dbpedia.org/resource/Hunan_University	Hunan University	Hunan University	2135	245	11,5%
207	http://dbpedia.org/resource/Florida_State_University	Florida State University	Florida State University	3380	388	11,5%
208	http://dbpedia.org/resource/Michigan_State_University	Michigan State University	Michigan State University	6665	765	11,5%
209	http://dbpedia.org/resource/University_of_New_Hampshire	University of New Hampshire	University of New Hampshire	1030	118	11,4%
210	http://dbpedia.org/resource/University_of_Bayreuth	University of Bayreuth	University of Bayreuth	1557	178	11,4%
211	http://dbpedia.org/resource/University_of_Hamburg	University of Hamburg	University of Hamburg	4005	456	11,4%
212	http://dbpedia.org/resource/University_of_Science_and_Technology_of_China	University of Science and Technology of China	University of Science and Technology of China	5458	621	11,4%
213	http://dbpedia.org/resource/Hebrew_University_of_Jerusalem	Hebrew University of Jerusalem	Hebrew University of Jerusalem	4672	532	11,4%
214	http://dbpedia.org/resource/Thomas_Jefferson_University	Thomas Jefferson University	Thomas Jefferson University	2101	238	11,3%
215	http://dbpedia.org/resource/University_of_Kiel	Kiel University	Kiel University	3247	368	11,3%
216	http://dbpedia.org/resource/University_of_Barcelona	University of Barcelona	University of Barcelona	5517	624	11,3%
217	http://dbpedia.org/resource/Universit%C3%A9_libre_de_Bruxelles	Université Libre de Bruxelles	Université Libre de Bruxelles	2480	280	11,3%
218	http://dbpedia.org/resource/University_of_Leicester	University of Leicester	University of Leicester	2398	271	11,3%
219	http://dbpedia.org/resource/University_of_Adelaide	University of Adelaide	University of Adelaide	3813	430	11,3%
220	http://dbpedia.org/resource/University_of_Hong_Kong	University of Hong Kong	University of Hong Kong	5930	669	11,3%
